Operation,Module_A,Module_B,Header,From
Primary,hana,mpl,boost/mpl/empty.hpp,boost/hana/ext/boost/mpl/list.hpp boost/hana/ext/boost/mpl/vector.hpp
Primary,hana,mpl,boost/mpl/equal.hpp,boost/hana/ext/boost/mpl/list.hpp boost/hana/ext/boost/mpl/vector.hpp
Primary,hana,mpl,boost/mpl/integral_c.hpp,boost/hana/ext/boost/mpl/integral_c.hpp
Primary,hana,mpl,boost/mpl/integral_c_tag.hpp,boost/hana/ext/boost/mpl/integral_c.hpp
Primary,hana,mpl,boost/mpl/list.hpp,boost/hana/ext/boost/mpl/list.hpp
Primary,hana,mpl,boost/mpl/sequence_tag.hpp,boost/hana/ext/boost/mpl/list.hpp boost/hana/ext/boost/mpl/vector.hpp
Primary,hana,mpl,boost/mpl/size.hpp,boost/hana/ext/boost/mpl/list.hpp boost/hana/ext/boost/mpl/vector.hpp
Primary,hana,mpl,boost/mpl/vector.hpp,boost/hana/ext/boost/mpl/vector.hpp
Primary,hana,tuple,boost/tuple/tuple.hpp,boost/hana/ext/boost/tuple.hpp
Reverse,hana,parser,boost/hana.hpp,boost/parser/tuple.hpp
Reverse,hana,yap,boost/hana/comparing.hpp,boost/yap/algorithm.hpp
Reverse,hana,yap,boost/hana/core/is_a.hpp,boost/yap/algorithm_fwd.hpp
Reverse,hana,yap,boost/hana/for_each.hpp,boost/yap/print.hpp
Reverse,hana,yap,boost/hana/integral_constant.hpp,boost/yap/algorithm_fwd.hpp
Reverse,hana,yap,boost/hana/size.hpp,boost/yap/algorithm.hpp boost/yap/detail/algorithm.hpp
Reverse,hana,yap,boost/hana/transform.hpp,boost/yap/detail/transform.hpp
Reverse,hana,yap,boost/hana/tuple.hpp,boost/yap/algorithm_fwd.hpp boost/yap/detail/algorithm.hpp
Primary,hash2,assert,boost/assert.hpp,boost/hash2/blake2.hpp boost/hash2/digest.hpp boost/hash2/fnv1a.hpp boost/hash2/hmac.hpp boost/hash2/legacy/murmur3.hpp boost/hash2/legacy/spooky2.hpp boost/hash2/md5.hpp boost/hash2/ripemd.hpp boost/hash2/sha1.hpp boost/hash2/sha2.hpp boost/hash2/sha3.hpp boost/hash2/siphash.hpp boost/hash2/xxh3.hpp boost/hash2/xxhash.hpp
Primary,hash2,config,boost/config.hpp,boost/hash2/blake2.hpp boost/hash2/detail/bit_cast.hpp boost/hash2/detail/byteswap.hpp boost/hash2/detail/config.hpp boost/hash2/detail/keccak.hpp boost/hash2/detail/memcmp.hpp boost/hash2/detail/memcpy.hpp boost/hash2/detail/memset.hpp boost/hash2/detail/mul128.hpp boost/hash2/detail/read.hpp boost/hash2/detail/rot.hpp boost/hash2/detail/write.hpp boost/hash2/digest.hpp boost/hash2/fnv1a.hpp boost/hash2/hash_append_fwd.hpp boost/hash2/hmac.hpp boost/hash2/md5.hpp boost/hash2/ripemd.hpp boost/hash2/sha1.hpp boost/hash2/sha3.hpp boost/hash2/xxh3.hpp boost/hash2/xxhash.hpp
Primary,hash2,config,boost/config/workaround.hpp,boost/hash2/blake2.hpp boost/hash2/detail/keccak.hpp boost/hash2/hmac.hpp boost/hash2/xxh3.hpp
Primary,hash2,container_hash,boost/container_hash/is_contiguous_range.hpp,boost/hash2/hash_append.hpp
Primary,hash2,container_hash,boost/container_hash/is_described_class.hpp,boost/hash2/hash_append.hpp
Primary,hash2,container_hash,boost/container_hash/is_range.hpp,boost/hash2/hash_append.hpp
Primary,hash2,container_hash,boost/container_hash/is_tuple_like.hpp,boost/hash2/hash_append.hpp
Primary,hash2,container_hash,boost/container_hash/is_unordered_range.hpp,boost/hash2/hash_append.hpp
Primary,hash2,describe,boost/describe/bases.hpp,boost/hash2/hash_append.hpp
Primary,hash2,describe,boost/describe/members.hpp,boost/hash2/hash_append.hpp
Primary,hash2,mp11,boost/mp11/algorithm.hpp,boost/hash2/hash_append.hpp
Primary,hash2,mp11,boost/mp11/integer_sequence.hpp,boost/hash2/hash_append.hpp
Primary,heap,assert,boost/assert.hpp,boost/heap/binomial_heap.hpp boost/heap/d_ary_heap.hpp boost/heap/detail/heap_comparison.hpp boost/heap/detail/heap_node.hpp boost/heap/detail/ordered_adaptor_iterator.hpp boost/heap/fibonacci_heap.hpp boost/heap/pairing_heap.hpp boost/heap/priority_queue.hpp boost/heap/skew_heap.hpp
Primary,heap,concept_check,boost/concept/assert.hpp,boost/heap/detail/heap_comparison.hpp boost/heap/heap_merge.hpp
Primary,heap,concept_check,boost/concept_check.hpp,boost/heap/detail/ordered_adaptor_iterator.hpp boost/heap/heap_concepts.hpp boost/heap/policies.hpp
Primary,heap,config,boost/cstdint.hpp,boost/heap/detail/stable_heap.hpp
Primary,heap,core,boost/core/allocator_access.hpp,boost/heap/detail/heap_node.hpp boost/heap/detail/stable_heap.hpp boost/heap/detail/tree_iterator.hpp
Primary,heap,intrusive,boost/intrusive/list.hpp,boost/heap/detail/heap_node.hpp
Primary,heap,iterator,boost/iterator/iterator_adaptor.hpp,boost/heap/detail/mutable_heap.hpp boost/heap/detail/ordered_adaptor_iterator.hpp boost/heap/detail/stable_heap.hpp boost/heap/detail/tree_iterator.hpp
